satellite,start_time,end_time,duration,max_elevation,constellation,location,country,duration [s],max_elevation [deg],satellite_height [km],slant_range [km],footprint_radius [km],footprint_area [km²]
TIANQI-36,2025-04-02 13:53:15.051912+00:00,2025-04-02 14:10:15.051932+00:00,1020.0000196695328,51.95719457038511,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-02 12:05:30.051936+00:00,2025-04-02 12:21:15.051919+00:00,944.9999839067459,27.40149678699455,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-02 00:52:15.051929+00:00,2025-04-02 01:01:15.051897+00:00,539.9999678134918,3.3629789130406706,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-01 23:01:00.051925+00:00,2025-04-01 23:17:15.051907+00:00,974.9999821186066,43.53198101229402,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-01 21:12:15.051911+00:00,2025-04-01 21:29:15.051931+00:00,1020.0000196695328,35.335959899273725,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-01 19:24:15.051895+00:00,2025-04-01 19:37:15.051929+00:00,780.0000339746475,10.635087366186491,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-02 19:25:15.051932+00:00,2025-04-02 19:39:15.051922+00:00,839.9999901652336,13.18436277069076,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-04 10:22:15.051902+00:00,2025-04-04 10:33:15.051903+00:00,660.0000008940697,7.0677106654127595,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-04 12:06:15.051933+00:00,2025-04-04 12:23:30.051911+00:00,1034.9999785423279,58.70366712448757,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-04 13:55:15.051905+00:00,2025-04-04 14:11:30.051927+00:00,975.0000223517418,28.361358420420313,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 19:28:15.051921+00:00,2025-04-06 19:45:15.051901+00:00,1019.9999794363976,36.789093601516,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 17:40:15.051905+00:00,2025-04-06 17:53:30.051898+00:00,794.9999928474426,10.939549019298662,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 15:50:15.051936+00:00,2025-04-06 16:02:15.051893+00:00,719.9999570846558,7.031872493075879,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 13:58:15.051935+00:00,2025-04-06 14:13:15.051921+00:00,899.9999865889549,17.019559847626347,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 12:08:15.051926+00:00,2025-04-06 12:25:15.051905+00:00,1019.9999794363976,69.70890387542498,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-06 10:21:15.051906+00:00,2025-04-06 10:36:15.051933+00:00,900.0000268220901,19.58383619837516,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-16 15:59:15.051904+00:00,2025-04-16 16:16:15.051924+00:00,1020.0000196695328,64.61165696192836,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-17 08:42:00.051899+00:00,2025-04-17 08:59:15.051918+00:00,1035.000018775463,70.81792160435218,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-03 12:06:15.051933+00:00,2025-04-03 12:22:30.051915+00:00,974.9999821186066,40.06103091658576,Tianqi,HK,CN,,,,,,
TIANQI-36,2025-04-22 05:11:00.051929+00:00,2025-04-22 05:26:15.051915+00:00,914.9999856948853,23.900560199502088,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 17:46:00.051925+00:00,2025-04-14 18:03:00.051904+00:00,1019.9999794363976,51.27728755153055,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 19:36:15.051933+00:00,2025-04-14 19:47:15.051893+00:00,659.9999606609344,6.556044068058869,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-15 06:55:15.051919+00:00,2025-04-15 07:07:15.051916+00:00,719.999997317791,9.524039432020212,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-18 06:55:15.051919+00:00,2025-04-18 07:11:15.051902+00:00,959.9999830126762,32.55899697891532,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-12 15:56:15.051915+00:00,2025-04-12 16:12:00.051899+00:00,944.9999839067459,24.447461615778767,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-18 08:43:00.051895+00:00,2025-04-18 09:00:15.051914+00:00,1035.000018775463,52.86610382758882,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-18 12:24:00.051910+00:00,2025-04-18 12:38:15.051899+00:00,854.9999892711639,15.383097590602992,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-21 12:27:15.051898+00:00,2025-04-21 12:42:15.051925+00:00,900.0000268220901,21.625836082810533,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-21 14:15:15.051914+00:00,2025-04-21 14:32:15.051893+00:00,1019.9999794363976,67.30533478239394,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-21 16:04:15.051927+00:00,2025-04-21 16:19:15.051913+00:00,899.9999865889549,23.97107581236726,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-22 06:58:00.051909+00:00,2025-04-22 07:15:15.051927+00:00,1035.000018775463,68.06332896037878,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-17 10:32:00.051908+00:00,2025-04-17 10:47:15.051893+00:00,914.9999856948853,22.279398200964916,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-22 08:48:00.051918+00:00,2025-04-22 09:03:15.051903+00:00,914.9999856948853,21.8284838849325,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-22 10:38:15.051926+00:00,2025-04-22 10:53:15.051912+00:00,899.9999865889549,14.900299042639675,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-22 12:28:00.051895+00:00,2025-04-22 12:44:00.051919+00:00,960.0000232458115,25.798893141650225,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-21 10:37:15.051929+00:00,2025-04-21 10:51:30.051919+00:00,854.9999892711639,14.911558868977897,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-22 14:16:15.051910+00:00,2025-04-22 14:33:15.051930+00:00,1020.0000196695328,89.95776228716953,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-23 03:29:15.051931+00:00,2025-04-23 03:34:15.051913+00:00,299.99998211860657,1.5714044165630046,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-23 05:11:15.051928+00:00,2025-04-23 05:27:15.051911+00:00,959.9999830126762,34.16314884706933,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-23 06:59:00.051905+00:00,2025-04-23 07:16:15.051924+00:00,1035.000018775463,50.93635410500759,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-23 08:49:15.051913+00:00,2025-04-23 09:04:15.051900+00:00,899.9999865889549,18.82668999928958,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-23 10:40:00.051919+00:00,2025-04-23 10:54:15.051909+00:00,854.9999892711639,15.549766095181434,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 15:57:30.051910+00:00,2025-04-14 16:14:15.051931+00:00,1005.0000205636024,37.368743668545015,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 14:09:15.051895+00:00,2025-04-14 14:23:30.051925+00:00,855.0000295042992,16.383683800887493,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 12:18:15.051930+00:00,2025-04-14 12:33:15.051917+00:00,899.9999865889549,17.164272148234524,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-14 10:28:15.051921+00:00,2025-04-14 10:45:00.051902+00:00,1004.9999803304672,41.83092032693895,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-17 12:22:15.051916+00:00,2025-04-17 12:37:15.051902+00:00,899.9999865889549,14.824747931498539,Tianqi,JX,CN,,,,,,
TIANQI-36,2025-04-17 14:12:00.051926+00:00,2025-04-17 14:28:00.051909+00:00,959.9999830126762,25.104963987974926,Tianqi,JX,CN,,,,,,
